,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(SSD_conf_low).24,1.8629401144553912,0.0743392946307934,1.7233785467460319,1.8130337110565071,1.8607763641678812,1.9114722157584687,2.0145356807160986,0.0010917194510045593
a_subj(SSD_conf_low).27,2.5523372411605934,0.09216088094042259,2.379485007948918,2.4882550497460523,2.550380317267265,2.6138530158032824,2.7368797157856912,0.0011777432167039592
a_subj(SSD_conf_low).28,3.001951186191857,0.1303777466196627,2.759134151227835,2.9124695274402246,2.9968388908693417,3.086211746510301,3.2680844783967533,0.0019991211667919648
a_subj(SSD_conf_low).33,2.2630861241308975,0.08194095770585261,2.1088306386284765,2.206562831513067,2.2617467673433245,2.316835515055696,2.4303055247296257,0.001230457152732689
a_subj(SSD_conf_low).34,3.1328595560650427,0.1154924266302667,2.914754267198004,3.054910454658319,3.1293014818764244,3.209957170017492,3.3706314462079376,0.0014718083046666836
a_subj(SSD_conf_low).39,2.8005405108489305,0.11021915177730399,2.5903997625632407,2.7248674898916065,2.7975925542566102,2.874565108034972,3.0213125324505907,0.0014862744559238001
v(HC),0.009983561503804242,0.05196009551984766,-0.08981541031224707,-0.024470090262932072,0.008807559712849486,0.04482491119553885,0.11536463311644789,0.0006090995062710775
v(SSD),0.1903956966965632,0.05465932885642413,0.08344740135544956,0.1539510059189021,0.1895908167043807,0.2268067713036997,0.2986171847948491,0.000595477230654191
v_std,0.22894306625224417,0.028663533566942494,0.17992243044982834,0.2089269435429956,0.22623895580675016,0.2457898478338205,0.29212111452951234,0.0004323346720730472
v_subj(HC).1,0.4530724744113577,0.07982413839335098,0.29735423748799206,0.3988565120941818,0.45267584861581517,0.5072079376429001,0.6087401300154416,0.0010349760517489193
v_subj(HC).2,-0.2868091645053676,0.05057463129067948,-0.38747940142613213,-0.3204042589110672,-0.28673315810235067,-0.25217309818600786,-0.18967458807039306,0.0005782116677405313
