,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(a_high.SSD).17,2.4356853500724327,0.09500263005974861,2.258771085820668,2.3703590071135543,2.432542802818163,2.4987596991146557,2.629130181381568,0.001396776949892883
a_subj(a_high.SSD).20,1.6910091251271784,0.07355201875236235,1.5520098608015709,1.6403747986805017,1.6895974270444627,1.7397300554188786,1.839034630741857,0.0011339547794045998
a_subj(a_high.SSD).21,2.7302405896549424,0.11059191860290599,2.5253447151390196,2.654324328785256,2.725844820011991,2.801591466376496,2.9623642119080005,0.0016807713513305306
a_subj(a_high.SSD).22,2.2309584454435987,0.09756855896990746,2.042549022280431,2.1649084862630037,2.228320629507503,2.2952683234557276,2.42700840686832,0.0012900646785896973
a_subj(a_high.SSD).24,1.8878213870910108,0.08544859560134088,1.7301558113700155,1.8281494568098249,1.885394859933755,1.9453885763449792,2.0615202880587105,0.0013482332648919462
a_subj(a_high.SSD).27,2.266145131531882,0.08632305454911779,2.100196320321757,2.206838420438751,2.2635515400953152,2.3226042237822324,2.4444537588839084,0.0012780466225150529
a_subj(a_high.SSD).28,2.9244946563821603,0.12170529634831047,2.693628383703034,2.8408039456967993,2.920484322007744,3.0058402527363244,3.1694879190906464,0.0017309907943323737
a_subj(a_high.SSD).33,1.810399980048734,0.08051896434234829,1.6621988985642506,1.7546540330229905,1.8054385378742304,1.862522777069464,1.9779283593186325,0.0012969075768555166
a_subj(a_high.SSD).34,2.5141301804290794,0.1005047374600857,2.3194795147188367,2.4459287166626242,2.513255799221603,2.5819671913843947,2.712260373318283,0.0015016546756850993
a_subj(a_high.SSD).39,2.4066551312123647,0.10711584590591405,2.2066392598825555,2.333217111646225,2.4031306817172737,2.476017016766162,2.630205151211248,0.0016860723125934926
a_subj(a_low.HC).1,1.6628834202220883,0.06426129020550528,1.5402095778745841,1.6186551267403293,1.6621124343333116,1.7061149396986957,1.7909976149332822,0.0008066036549185696
a_subj(a_low.HC).2,2.8147421693352626,0.1241548681157951,2.583091409524608,2.7296178392002637,2.808539018239232,2.8973989177869677,3.0689844360420553,0.0030472286477025152
a_subj(a_low.HC).4,2.584972842039766,0.08943596678470699,2.4157823562374925,2.5227044962852734,2.583172290032946,2.646767388548446,2.7602935050597055,0.0011106864238008634
a_subj(a_low.HC).5,2.70141086124983,0.07754108612370536,2.5531731369359933,2.6489308858495586,2.6999815888868173,2.752143668019705,2.8604249528143653,0.001076525489776456
a_subj(a_low.HC).8,2.533832444694911,0.09331350549304711,2.355760836163188,2.469568337266585,2.5334729540570753,2.596768362567765,2.720347280401853,0.0012665793644487874
a_subj(a_low.HC).9,3.706456420482868,0.15179582544673856,3.4211492959857264,3.602415732883374,3.699918072428066,3.8081460129609064,4.018657552812024,0.0030004534443984917
a_subj(a_low.HC).12,2.744942431148404,0.10688699446893021,2.546502750220677,2.6722459976409705,2.741544084987125,2.8129005091834847,2.964071380248808,0.001594937271252613
a_subj(a_low.HC).16,2.1252063714921734,0.0829909960016352,1.970121213617848,2.0681087632401973,2.124155213927212,2.180695206206312,2.2951872121952217,0.0012124675252317804
a_subj(a_low.HC).18,2.2272708559241807,0.08002268072726974,2.075350502896106,2.1724991902189323,2.2249596144925787,2.2807568832441,2.388936175784284,0.001003466341575753
a_subj(a_low.HC).19,2.8152475290733614,0.10476756558046103,2.6198370173106578,2.743340518135818,2.8126275287455615,2.882865552877336,3.0300010192378184,0.001428827346213586
a_subj(a_low.HC).23,1.519983349930905,0.05869064571368004,1.408326548054794,1.4798329660473866,1.5183612451724722,1.5585396980224306,1.6354523400407297,0.0009111316498562965
a_subj(a_low.HC).25,2.621356748764627,0.08977694300481644,2.450081909742458,2.5602910977346403,2.618837069763038,2.680920309472307,2.802702945479968,0.0010029459282890909
a_subj(a_low.HC).26,2.4570013815266787,0.08910158975557489,2.290211315358461,2.3944814960787175,2.455672663705309,2.5154567514685757,2.640359548965199,0.001196865489094963
a_subj(a_low.HC).29,2.9444433982502813,0.10825312099868332,2.7382326717702012,2.8716497930230775,2.9413904614330306,3.0165382514029493,3.160272005381152,0.0012284901454257876
a_subj(a_low.HC).30,2.0122274872327797,0.07489575007294828,1.8708316711344373,1.9602416176658017,2.0115103319349075,2.061867468353311,2.1623894004922604,0.0010092630276327358
a_subj(a_low.HC).31,2.7975186586355414,0.10476899556267401,2.5968113476521975,2.7273783501758633,2.7964473691696377,2.8662306390199013,3.0077211880135186,0.0013445351051760116
a_subj(a_low.HC).32,3.0226392695520112,0.11353513372648394,2.8086694949182065,2.9449760211773786,3.0220193552482826,3.09794417159094,3.250387487424796,0.0014332924337790768
a_subj(a_low.HC).35,2.2660911349115795,0.08735522848164604,2.100104251454339,2.205742064718533,2.264466714633529,2.32464352618935,2.4367392995855193,0.0010784942883568874
a_subj(a_low.HC).36,3.6303567883728336,0.13243887957327197,3.378640486479359,3.5393912884068164,3.6261683673938254,3.7190869047956268,3.89477367175422,0.001467812486075829
a_subj(a_low.HC).37,2.3384710839368226,0.0843465253037762,2.1773651692099145,2.2814928027492885,2.3360966532426577,2.394183998648861,2.5081357148014694,0.0011192043638423978
a_subj(a_low.HC).38,2.116097745782079,0.07759720906970587,1.9672196610098571,2.062353746446516,2.114354575175327,2.1681780371773414,2.2729501292343794,0.0009655274987108751
a_subj(a_low.SSD).0,2.6893048867947673,0.11109282883464669,2.478301036097466,2.6143443102786743,2.6862467687487683,2.763845157584879,2.914987643246141,0.001594112055002809
a_subj(a_low.SSD).3,3.1376911449409493,0.11073770267690948,2.928469329482272,3.0613452001820267,3.1345847338432926,3.2107324328763536,3.3592980727583575,0.0015788225356281349
a_subj(a_low.SSD).6,2.5156001395068106,0.10572806625283881,2.321301381271518,2.4408904463994534,2.5123505259336754,2.5857490450984355,2.734723912302709,0.0013748447658237498
